release_year,genre_cluster,n,mean_len,median_len
2000,Mainstream/Commercial,99,277.48241414141415,255
2000,Underground/Alternative,203,284.8937733990148,256.293
2000,Classical/Structured,290,307.57206551724136,262.553
2001,Mainstream/Commercial,115,262.6034347826087,233.96
2001,Underground/Alternative,274,290.3990583941606,273.33299999999997
2001,Classical/Structured,285,307.2087228070175,268.173
2002,Mainstream/Commercial,122,260.61227049180326,248.1465
2002,Underground/Alternative,280,290.24496071428575,248.1995
2002,Classical/Structured,258,341.7148023255814,272.78700000000003
2003,Mainstream/Commercial,149,262.1487046979866,242.92
2003,Underground/Alternative,293,272.8783310580205,250.413
2003,Classical/Structured,325,311.4463692307693,263.733
2004,Mainstream/Commercial,170,260.89614117647056,243.86599999999999
2004,Underground/Alternative,315,288.9487111111111,253.04
2004,Classical/Structured,278,282.3312625899281,238.7065
2005,Mainstream/Commercial,234,262.4306153846154,245.63299999999998
2005,Underground/Alternative,319,288.05033228840125,262.68
2005,Classical/Structured,267,285.41099250936327,245.266
2006,Mainstream/Commercial,131,257.2663816793893,248
2006,Underground/Alternative,347,299.6529250720461,264.28
2006,Classical/Structured,312,290.438233974359,269.89300000000003
2007,Mainstream/Commercial,89,239.45152808988766,233
2007,Underground/Alternative,379,284.5581530343008,249.48
2007,Classical/Structured,307,282.91808143322476,253.346
2008,Mainstream/Commercial,153,255.1567320261438,231.013
2008,Underground/Alternative,343,283.60441107871725,245.24
2008,Classical/Structured,341,285.275366568915,253.8
2009,Mainstream/Commercial,132,256.7952348484848,232.34
2009,Underground/Alternative,295,323.2854203389831,270.986
2009,Classical/Structured,274,282.4404562043795,242.19299999999998
2010,Mainstream/Commercial,98,239.94134693877552,230
2010,Underground/Alternative,265,308.08083396226414,269.28
2010,Classical/Structured,267,305.9966853932584,277.693
2011,Mainstream/Commercial,182,227.79616483516486,222.01999999999998
2011,Underground/Alternative,282,302.05141489361705,261
2011,Classical/Structured,320,306.38665625,249.526
2012,Mainstream/Commercial,204,233.78607352941177,229.22000000000003
2012,Underground/Alternative,205,335.8087073170732,274
2012,Classical/Structured,255,329.3157647058824,274
2013,Mainstream/Commercial,154,227.67929870129868,219.56
2013,Underground/Alternative,258,309.93550387596895,275.5
2013,Classical/Structured,300,318.8867466666666,272.18
2014,Mainstream/Commercial,267,251.65559550561798,231.34
2014,Underground/Alternative,216,328.1903055555556,279.5
2014,Classical/Structured,268,308.52008955223886,256.385
2015,Mainstream/Commercial,247,219.691971659919,216.018
2015,Underground/Alternative,154,358.94704545454545,318.42650000000003
2015,Classical/Structured,180,351.6500166666667,276
2016,Mainstream/Commercial,228,226.9343070175439,216.23149999999998
2016,Underground/Alternative,154,318.899987012987,299.0195
2016,Classical/Structured,206,302.4271019417476,262.82
2017,Mainstream/Commercial,166,206.29256024096384,210.4185
2017,Underground/Alternative,30,416.7240333333333,343.94449999999995
2017,Classical/Structured,102,274.82749019607843,282.701
2018,Mainstream/Commercial,208,203.95126442307696,204.71550000000002
2018,Underground/Alternative,14,316.92535714285714,303.1635
2018,Classical/Structured,47,295.4021914893617,255
2019,Mainstream/Commercial,231,176.2306103896104,177
2019,Underground/Alternative,30,391.9584,307.4515
2019,Classical/Structured,55,296.94892727272725,245
2020,Mainstream/Commercial,287,191.78877700348434,186.402
2020,Underground/Alternative,32,190.1170625,111
2020,Classical/Structured,53,289.0239433962264,267.12
2021,Mainstream/Commercial,251,189.60372908366534,180
2021,Underground/Alternative,22,396.61168181818186,317.5
2021,Classical/Structured,68,258.36923529411763,250.4265
2022,Mainstream/Commercial,188,200.12692021276598,174.2695
2022,Underground/Alternative,41,314.1866829268293,293.73
2022,Classical/Structured,66,228.9459393939394,226.98649999999998
2023,Mainstream/Commercial,152,224.85400657894735,203.307
2023,Underground/Alternative,27,341.4517407407408,320.72
2023,Classical/Structured,49,224.76159183673468,230
2024,Mainstream/Commercial,264,207.1802537878788,178.26
2024,Underground/Alternative,92,304.4497717391304,219
2024,Classical/Structured,107,247.90620560747664,222
2025,Mainstream/Commercial,300,183.65628666666666,172.7625
2025,Underground/Alternative,142,327.8526056338028,272.40250000000003
2025,Classical/Structured,121,375.1757190082645,272.347
