release_year,era,n,mean_len,median_len
2000,Pre-Convergence (2000–2012),587,295.2546541737649,260.533
2001,Pre-Convergence (2000–2012),663,291.7005309200603,263
2002,Pre-Convergence (2000–2012),644,303.95638354037266,253.3065
2003,Pre-Convergence (2000–2012),760,286.89334078947365,252.77949999999998
2004,Pre-Convergence (2000–2012),754,280.2704867374006,246
2005,Pre-Convergence (2000–2012),810,278.41764320987653,250.5595
2006,Pre-Convergence (2000–2012),781,289.1230448143406,261.48
2007,Pre-Convergence (2000–2012),759,280.4666205533597,249.52
2008,Pre-Convergence (2000–2012),821,277.1762362971985,244.6
2009,Pre-Convergence (2000–2012),694,295.43764409221905,250.07999999999998
2010,Pre-Convergence (2000–2012),621,296.35242673107894,262.493
2011,Pre-Convergence (2000–2012),777,286.00799485199485,243
2012,Pre-Convergence (2000–2012),655,300.2995557251908,253
2013,Platform Emergence (2013–2016),703,296.3887283072546,262
2014,Platform Emergence (2013–2016),742,293.3683544474393,252.15300000000002
2015,Platform Emergence (2013–2016),572,296.19781993006995,249
2016,Platform Emergence (2013–2016),571,277.31241330998245,238
2017,Dual Algorithmization (2017+),296,251.19551013513512,226.89749999999998
2018,Dual Algorithmization (2017+),264,225.88735984848486,213.5
2019,Dual Algorithmization (2017+),306,218.97538235294118,197.78449999999998
2020,Dual Algorithmization (2017+),352,208.17354829545454,195.0135
2021,Dual Algorithmization (2017+),337,216.82281305637983,195.026
2022,Dual Algorithmization (2017+),285,225.6889192982456,195
2023,Dual Algorithmization (2017+),219,240.12020091324203,213.817
2024,Dual Algorithmization (2017+),454,237.30566079295153,197.5135
2025,Dual Algorithmization (2017+),544,264.91259007352943,214.2
